ID,County,Year,Population,Change,Births,Deaths,Net Migration,Natural Increase,Datatype
0011970,1,1970,187058,6058,3608,835,3285,2773,Estimate
0031970,3,1970,11484,484,218,76,342,142,Estimate
0051970,5,1970,163683,5683,2645,858,3896,1787,Estimate
0071970,7,1970,2698,-342,57,19,-380,38,Estimate
0091970,9,1970,5653,-167,91,68,-190,23,Estimate
0111970,11,1970,6488,-262,87,63,-286,24,Estimate
0131970,13,1970,133432,6432,2309,780,4903,1529,Estimate
0151970,15,1970,10273,323,159,101,265,58,Estimate
0171970,17,1970,2396,-64,38,22,-80,16,Estimate
0191970,19,1970,4993,643,82,37,598,45,Estimate
0211970,21,1970,7829,-261,153,57,-357,96,Estimate
0231970,23,1970,3080,-40,49,26,-63,23,Estimate
0251970,25,1970,3085,-35,38,46,-27,-8,Estimate
0271970,27,1970,1131,21,14,13,20,1,Estimate
0291970,29,1970,15316,-184,213,213,-184,0,Estimate
0311970,31,1970,515985,1985,9802,5275,-2542,4527,Estimate
0331970,33,1970,1628,-102,31,15,-118,16,Estimate
0351970,35,1970,8594,774,129,66,711,63,Estimate
0371970,37,1970,7689,1169,169,42,1042,127,Estimate
0391970,39,1970,3912,52,39,41,54,-2,Estimate
0411970,41,1970,238384,13384,5270,1363,9477,3907,Estimate
0431970,43,1970,22110,610,298,331,643,-33,Estimate
0451970,45,1970,14965,565,253,150,462,103,Estimate
0471970,47,1970,1301,151,21,14,144,7,Estimate
0491970,49,1970,4236,346,72,27,301,45,Estimate
0511970,51,1970,7714,394,123,40,311,83,Estimate
0531970,53,1970,203,-6,5,3,-8,2,Estimate
0551970,55,1970,6527,-73,95,88,-80,7,Estimate
0571970,57,1970,1850,60,36,12,36,24,Estimate
0591970,59,1970,237712,12712,3963,1286,10035,2677,Estimate
0611970,61,1970,2022,-38,32,23,-47,9,Estimate
0631970,63,1970,7579,69,131,71,9,60,Estimate
0651970,65,1970,8313,673,196,58,535,138,Estimate
0671970,67,1970,19316,-384,340,189,-535,151,Estimate
0691970,69,1970,91179,5479,1578,655,4556,923,Estimate
0711970,71,1970,15803,-497,252,209,-540,43,Estimate
0731970,73,1970,4861,51,62,64,53,-2,Estimate
0751970,75,1970,18881,-19,302,166,-155,136,Estimate
0771970,77,1970,54548,648,816,555,387,261,Estimate
